Key,Doc Num,Frequency,IDF
clw,2,4,7.313220387090301
thư,9,14,5.809142990314028
sgt,2,4,7.313220387090301
tdw,2,4,7.313220387090301
27032023,2,4,7.313220387090301
stk,1,2,8.006367567650246
tis,2,2,7.313220387090301
hfb,3,3,6.907755278982137
tdc,1,2,8.006367567650246
sas,1,1,8.006367567650246
vvs,1,1,8.006367567650246
tổng_hợp,9,10,5.809142990314028
xí_nghiệp,3,6,6.907755278982137
31122022,3,4,6.907755278982137
sjd,1,2,8.006367567650246
vci,1,2,8.006367567650246
pvv,1,1,8.006367567650246
tmp,1,2,8.006367567650246
đhcđ,3,4,6.907755278982137
bctchn,1,2,8.006367567650246
kt,1,2,8.006367567650246
cqt,1,1,8.006367567650246
hạn_mức,2,3,7.313220387090301
thấu,3,4,6.907755278982137
vct,1,1,8.006367567650246
ptb,1,2,8.006367567650246
pbc,1,1,8.006367567650246
hlg,1,1,8.006367567650246
tsd,1,1,8.006367567650246
dpr,1,2,8.006367567650246
kqkdhn,1,2,8.006367567650246
vnl,1,2,8.006367567650246
ctr,1,2,8.006367567650246
kinh_phí,3,3,6.907755278982137
hạ_tầng,15,19,5.298317366548036
kỹ_thuật,8,9,5.926926025970411
chật_vật,5,6,6.396929655216146
giam,7,10,6.060457418594933
thuế_vat,1,1,8.006367567650246
kiệt_quệ,2,2,7.313220387090301
phá_sản,7,8,6.060457418594933
rạng,7,7,6.060457418594933
trận_đấu,26,28,4.748271029628765
fulbright,1,2,8.006367567650246
bích_thủy,1,2,8.006367567650246
tasco,1,2,8.006367567650246
chục,22,26,4.915325114291931
bầu_bà,1,1,8.006367567650246
anz,1,1,8.006367567650246
vib,1,1,8.006367567650246
tích_lũy,3,3,6.907755278982137
giằng_co,2,2,7.313220387090301
bluechip,1,1,8.006367567650246
prudential,2,6,7.313220387090301
ty,12,14,5.521460917862246
bảo_hiểm_nh226,1,1,8.006367567650246
quyền_lợi,2,3,7.313220387090301
kh225,17,24,5.173154223594031
tổng_quyền_lợi,2,2,7.313220387090301
quyết_toán,1,1,8.006367567650246
thắc_mắc,5,5,6.396929655216146
quan,11,12,5.608472294851876
quyết,16,16,5.233778845410465
to225,6,7,6.214608098422191
thu_nhập,30,41,4.605170185988092
giới,36,40,4.422848629194137
chuy234,3,3,6.907755278982137
253,5,5,6.396929655216146
chủ_động,8,8,5.926926025970411
t236,7,7,6.060457418594933
tr225,10,11,5.703782474656201
s243,3,3,6.907755278982137
k234,5,6,6.396929655216146
truy_thu,2,2,7.313220387090301
gia_tộc,2,2,7.313220387090301
red,2,4,7.313220387090301
bull,2,4,7.313220387090301
yoovidhya,1,1,8.006367567650246
bloomberg,5,5,6.396929655216146
billionaires,1,1,8.006367567650246
qlda,3,4,6.907755278982137
đối_thoại,6,9,6.214608098422191
tâm_tư,1,1,8.006367567650246
quan_hệ,21,22,4.961845129926823
định_kỳ,3,3,6.907755278982137
pvndb,1,2,8.006367567650246
ii,7,9,6.060457418594933
24,22,26,4.915325114291931
phân_phối,6,7,6.214608098422191
lọc,4,4,6.620073206530356
long_trọng,1,1,8.006367567650246
lan_tỏa,3,3,6.907755278982137
đồng_hành,6,7,6.214608098422191
vững_bước,1,1,8.006367567650246
kêu,8,8,5.926926025970411
chuồng,4,5,6.620073206530356
